DATAFLOW,LAST UPDATE,freq,unit,lev_know,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PL,2007,56.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PL,2011,36.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PL,2016,32.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PT,2007,29.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PT,2011,29.8,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,PT,2016,31.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,RO,2007,46.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,RO,2016,37.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,RS,2011,28.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,RS,2016,24.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SE,2007,6.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SE,2011,8.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SE,2016,7.4,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SI,2007,11.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SI,2011,12.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SI,2016,10.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SK,2007,22.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SK,2011,25.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,SK,2016,22.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,TR,2007,79.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,TR,2011,58.9,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,TR,2016,62.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,UK,2007,68.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC1-3,UK,2016,50.9,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,AL,2016,42.9,u
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,AT,2007,37.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,AT,2011,39.7,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,AT,2016,44.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,BA,2016,66.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,BE,2007,41.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,BE,2011,32.5,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,BE,2016,32.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,BG,2007,79.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,BG,2011,57.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,BG,2016,46.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,CH,2011,16.7,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,CH,2016,52.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,CY,2007,26.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,CY,2011,22.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,CY,2016,23.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,CZ,2007,62.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,CZ,2011,47.7,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,CZ,2016,66.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,DE,2007,60.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,DE,2011,57.8,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,DE,2016,54.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,DK,2011,36.5,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,DK,2016,18.2,u
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EA19,2007,54.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EA19,2011,52.9,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EA19,2016,51.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EE,2007,37.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EE,2011,35.5,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EE,2016,55.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EL,2007,50.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EL,2011,46.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EL,2016,38.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,ES,2007,53.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,ES,2011,46.8,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,ES,2016,46.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EU27_2020,2007,55.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EU27_2020,2011,51.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EU27_2020,2016,50.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EU28,2007,59.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EU28,2011,51.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,EU28,2016,50.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,FI,2007,41.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,FI,2011,33.9,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,FI,2016,33.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,FR,2007,69.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,FR,2011,58.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,FR,2016,63.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,HR,2007,42.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,HR,2016,37.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,HU,2007,70.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,HU,2011,49.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,HU,2016,59.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,IE,2016,56.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,IT,2011,67.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,IT,2016,65.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,LT,2007,35.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,LT,2011,31.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,LT,2016,40.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,LU,2011,15.1,b
