,Territory,Citizenship,Year,UNEMP_ED_1,UNEMP_ED_3,total_x,UNEMP_ED_2,ACT_ED_1,ACT_ED_3,total_y,ACT_ED_2
37,Nord-est,italian,2020,6.316249,3.2606836666666665,4.876394666666666,4.927195666666667,54.44561266666667,83.74043266666666,69.57389933333333,74.92259866666667
38,Nord-est,italian,2021,6.39721,2.7773066666666666,4.5295543333333335,4.436289666666666,54.174218,85.298496,69.50569066666667,74.41002366666667
39,Nord-est,italian,2022,5.598281,2.2091576666666666,3.8375009999999996,3.730644,55.00348400000001,86.23249,70.747591,76.07489166666666
40,Nord-ovest,foreign,2018,13.942549999999999,8.657254333333332,12.883017666666667,12.920238,68.80266133333333,76.82749033333334,72.61767233333333,77.31331733333333
41,Nord-ovest,foreign,2019,12.974600333333333,10.642936,12.051909,11.175750666666667,68.60170933333333,76.536952,72.306542,77.10920733333333
42,Nord-ovest,foreign,2020,12.277352666666667,9.928719666666666,12.096274666666668,12.508221999999998,61.71620633333333,68.043631,65.71101433333334,72.23965666666668
43,Nord-ovest,foreign,2021,13.224712666666667,12.471010666666666,13.596371333333332,14.408136999999998,65.327416,72.853186,69.47462033333333,74.89358566666667
44,Nord-ovest,foreign,2022,10.672936333333334,10.163093,10.498555,10.377461,66.026004,75.13189633333333,70.65119133333333,76.266436
45,Nord-ovest,italian,2018,8.359876,3.4741703333333334,6.087053,6.088358666666667,55.15669966666667,86.43932033333333,69.98546566666666,75.26049666666667
46,Nord-ovest,italian,2019,8.479392666666667,2.9877563333333335,5.700288333333333,5.468788333333333,55.99860833333333,86.25669266666667,70.25683033333334,74.95501133333333
47,Nord-ovest,italian,2020,7.408153666666666,3.1971976666666664,5.328483333333334,5.268204333333333,53.64003833333333,84.66457100000001,68.41970966666666,73.17179800000001
48,Nord-ovest,italian,2021,7.805801333333334,3.1203913333333335,5.497646666666667,5.419123,54.156985,85.74234866666666,69.00033933333333,73.80046933333334
49,Nord-ovest,italian,2022,6.945923666666666,2.522901,4.736643333333333,4.653365333333333,54.74192133333333,86.36194033333334,69.894383,74.81709033333334
