"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2020-Q4","Q4-2020",408.605,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2021","2021",381.984,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2022","2022",381.973,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2021-Q1","Q1-2021",347.357,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2021-Q2","Q2-2021",359.296,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2021-Q3","Q3-2021",413.329,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2021-Q4","Q4-2021",407.955,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2022-Q1","Q1-2022",387.5,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2022-Q2","Q2-2022",382.65,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2022-Q3","Q3-2022",381.602,,
"IT","Italy","2","females","Y15-89","15-89 years","13","no educational degree, primary and lower secondary school certificate","FRG","foreign","2022-Q4","Q4-2022",376.14,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2018","2018",865.364,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2018-Q2","Q2-2018",864.747,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2018-Q1","Q1-2018",822.54,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2018-Q4","Q4-2018",868.509,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2018-Q3","Q3-2018",905.659,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2019","2019",874.492,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2019-Q1","Q1-2019",847.124,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2019-Q2","Q2-2019",856.969,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2019-Q4","Q4-2019",884.509,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2019-Q3","Q3-2019",909.364,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2020","2020",807.353,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2020-Q2","Q2-2020",765.632,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2020-Q1","Q1-2020",836.014,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2020-Q3","Q3-2020",820.111,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2020-Q4","Q4-2020",807.655,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2021","2021",879.684,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2022","2022",957.069,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2021-Q1","Q1-2021",848.068,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2021-Q2","Q2-2021",878.161,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2021-Q3","Q3-2021",867.966,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2021-Q4","Q4-2021",924.541,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2022-Q1","Q1-2022",935.063,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2022-Q2","Q2-2022",939.098,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2022-Q3","Q3-2022",1003.006,,
"IT","Italy","9","total","Y15-89","15-89 years","7","upper and post secondary","FRG","foreign","2022-Q4","Q4-2022",951.109,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",644.878,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",653.858,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",628.382,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",638.676,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",658.597,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",667.577,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",648.872,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",679.69,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",668.018,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",673.73,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",639.707,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",622.842,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",644.035,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",649.249,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",642.701,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",646.459,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",696.225,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",609.336,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",620.347,,
