"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","ATECO_2007","NACE 2007","POSIZPROF","Professional status","TIME","Select time","Value","Flag Codes","Flags"
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019","2019",28.661,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q1","Q1-2019",22.714,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q2","Q2-2019",25.774,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q4","Q4-2019",28.538,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q3","Q3-2019",37.62,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020","2020",28.008,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q2","Q2-2020",27.877,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q1","Q1-2020",29.412,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q3","Q3-2020",30.197,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q4","Q4-2020",24.545,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021","2021",28.313,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022","2022",24.432,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q1","Q1-2021",25.671,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q2","Q2-2021",37.012,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q3","Q3-2021",27.853,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q4","Q4-2021",22.714,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q1","Q1-2022",16.906,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q2","Q2-2022",27.311,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q3","Q3-2022",30.64,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q4","Q4-2022",22.873,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018","2018",34.634,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q2","Q2-2018",37.208,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q1","Q1-2018",38.496,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q4","Q4-2018",33.133,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q3","Q3-2018",29.698,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019","2019",37.169,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q1","Q1-2019",40.077,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q2","Q2-2019",37.967,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q4","Q4-2019",34.573,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q3","Q3-2019",36.061,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020","2020",43.788,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q2","Q2-2020",41.88,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q1","Q1-2020",39.931,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q3","Q3-2020",44.363,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q4","Q4-2020",48.978,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021","2021",44.295,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022","2022",39.884,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q1","Q1-2021",47.334,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q2","Q2-2021",40.317,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q3","Q3-2021",42.638,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q4","Q4-2021",46.889,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q1","Q1-2022",43.155,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q2","Q2-2022",35.664,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q3","Q3-2022",38.158,,
"ITE","Centro (I)","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q4","Q4-2022",42.558,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018","2018",65.228,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q2","Q2-2018",64.825,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q1","Q1-2018",61.708,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q4","Q4-2018",71.275,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2018-Q3","Q3-2018",63.106,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019","2019",68.335,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q1","Q1-2019",59.187,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q2","Q2-2019",67.224,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q4","Q4-2019",74.127,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2019-Q3","Q3-2019",72.803,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020","2020",65.266,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q2","Q2-2020",63.361,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q1","Q1-2020",62.451,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q3","Q3-2020",70.72,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2020-Q4","Q4-2020",64.533,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021","2021",65.738,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022","2022",66.053,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q1","Q1-2021",57.521,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q2","Q2-2021",62.203,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q3","Q3-2021",76.945,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2021-Q4","Q4-2021",66.285,,
