àùTerritory,Year,Sex,Age,Quantity
IT,2019,Male,77,2214
IT,2020,Male,77,2729
IT,2021,Male,77,2386
IT,2022,Male,77,2374
IT,2023,Male,77,2399
IT,2019,Male,78,2362
IT,2020,Male,78,2164
IT,2021,Male,78,2426
IT,2022,Male,78,2111
IT,2023,Male,78,2194
IT,2019,Male,79,1907
IT,2020,Male,79,2273
IT,2021,Male,79,1868
IT,2022,Male,79,2101
IT,2023,Male,79,1953
IT,2019,Male,8,30975
IT,2020,Male,8,31328
IT,2021,Male,8,32477
IT,2022,Male,8,32137
IT,2023,Male,8,32833
IT,2019,Male,80,1786
IT,2020,Male,80,1838
IT,2021,Male,80,1985
IT,2022,Male,80,1614
IT,2023,Male,80,1934
IT,2019,Male,81,1534
IT,2020,Male,81,1712
IT,2021,Male,81,1565
IT,2022,Male,81,1736
IT,2023,Male,81,1467
IT,2019,Male,82,1371
IT,2020,Male,82,1459
IT,2021,Male,82,1454
IT,2022,Male,82,1317
IT,2023,Male,82,1591
IT,2019,Male,83,1184
IT,2020,Male,83,1302
IT,2021,Male,83,1217
IT,2022,Male,83,1196
IT,2023,Male,83,1193
IT,2019,Male,84,949
IT,2020,Male,84,1104
IT,2021,Male,84,1059
IT,2022,Male,84,1034
IT,2023,Male,84,1097
IT,2019,Male,85,764
IT,2020,Male,85,890
IT,2021,Male,85,903
IT,2022,Male,85,854
IT,2023,Male,85,934
IT,2019,Male,86,682
IT,2020,Male,86,711
IT,2021,Male,86,705
IT,2022,Male,86,753
IT,2023,Male,86,729
IT,2019,Male,87,467
IT,2020,Male,87,622
IT,2021,Male,87,558
IT,2022,Male,87,563
IT,2023,Male,87,665
IT,2019,Male,88,500
IT,2020,Male,88,428
IT,2021,Male,88,474
IT,2022,Male,88,456
IT,2023,Male,88,492
IT,2019,Male,89,313
IT,2020,Male,89,446
IT,2021,Male,89,301
IT,2022,Male,89,380
IT,2023,Male,89,396
IT,2019,Male,9,30475
IT,2020,Male,9,30549
IT,2021,Male,9,30651
IT,2022,Male,9,32502
IT,2023,Male,9,31806
IT,2019,Male,90,269
IT,2020,Male,90,265
IT,2021,Male,90,342
IT,2022,Male,90,242
IT,2023,Male,90,327
IT,2019,Male,91,220
IT,2020,Male,91,236
IT,2021,Male,91,193
IT,2022,Male,91,266
IT,2023,Male,91,204
IT,2019,Male,92,162
IT,2020,Male,92,191
IT,2021,Male,92,160
IT,2022,Male,92,142
IT,2023,Male,92,218
IT,2019,Male,93,139
IT,2020,Male,93,143
IT,2021,Male,93,135
IT,2022,Male,93,112
IT,2023,Male,93,129
IT,2019,Male,94,94
IT,2020,Male,94,114
IT,2021,Male,94,90
IT,2022,Male,94,99
IT,2023,Male,94,92
IT,2019,Male,95,82
IT,2020,Male,95,78
IT,2021,Male,95,71
IT,2022,Male,95,79
IT,2023,Male,95,82
IT,2019,Male,96,58
IT,2020,Male,96,69
IT,2021,Male,96,45
IT,2022,Male,96,46
IT,2023,Male,96,57
IT,2019,Male,97,46
IT,2020,Male,97,46
IT,2021,Male,97,45
IT,2022,Male,97,28
IT,2023,Male,97,31
IT,2019,Male,98,33
IT,2020,Male,98,37
IT,2021,Male,98,38
IT,2022,Male,98,54
IT,2023,Male,98,22
IT,2019,Male,99,22
IT,2020,Male,99,28
IT,2021,Male,99,30
IT,2022,Male,99,33
IT,2023,Male,99,42
IT,2019,Female,TOTAL,2581873
IT,2020,Female,TOTAL,2607959
IT,2021,Female,TOTAL,2647250
IT,2022,Female,TOTAL,2562514
IT,2023,Female,TOTAL,2577532
IT,2019,Female,Y_GE100,84
IT,2020,Female,Y_GE100,93
IT,2021,Female,Y_GE100,121
IT,2022,Female,Y_GE100,130
IT,2023,Female,Y_GE100,140
IT,2019,Female,0,29873
IT,2020,Female,0,29402
IT,2021,Female,0,29217
IT,2022,Female,0,26316
IT,2023,Female,0,27379
IT,2019,Female,1,31727
IT,2020,Female,1,29889
IT,2021,Female,1,29661
IT,2022,Female,1,27998
IT,2023,Female,1,25901
IT,2019,Female,10,27002
